id,grade,subject,unit,date,order,title,title_att,optionA,optionB,optionC,optionD,A_att,B_att,C_att,D_att,answer,analysis,analysis_att,valid,
15,7,9,0,2017-01-09,1,臺灣某環保團體發表聲明指出：「受到全球暖化影響，海洋溫度逐漸提高，海洋汙染問題已嚴重威脅到甲生態的發展。」根據上文判斷，該環保團體所說的甲生態受到威脅應是指下列哪一項生態環境問題？,,珊瑚受汙染白化,沙塵暴落塵數量大增,水庫泥沙淤積嚴重,沿岸地下水質鹽化,,,,,A,由海洋汙染及溫度變化可知為針對珊瑚礁白化所關注的生態環境問題。,,1,NULL
16,7,9,0,2017-01-09,2,臺灣地層脆弱、土石鬆散，這與下列哪一項因素最有關係？,,位於海陸交界位置,河川呈東西流向,位於颱風侵襲路徑,位於板塊交界,,,,,D,臺灣的地質破碎和板塊活動的關係最大，因為地層擠壓導致多地震、地質脆弱。,,0,NULL
17,7,9,0,2017-01-09,3,地層下陷地區造成的環境危機不包括下列何項？,,海岸退後,地面易積水造成水患,土壤酸化,海水易倒灌,,,,,C,土壤酸化是指酸雨或施肥不當等因素，讓土壤的PH值變小了。,,0,NULL
18,7,9,0,2017-01-09,4,如果想要了解影響各河川水位變化的因素，則蒐集的資料應不包括下列何者？,,集水區降雨狀況,集水區地形坡度,集水區分水嶺高度,集水區水土保持情形,,,,,C,分水嶺高度和水位變化關係較小，主要以分水嶺坡度影響為主。,,1,NULL
19,7,9,0,2017-01-09,5,臺灣南部河川遭到汙染的程度，往往比北部來得嚴重，其汙染物留滯在河床的原因和南部河川的哪一種特性最有關係？［92.第二次基測］,,流量變化較大,河流長度較長,流域面積較廣,河流坡度較陡,,,,,A,臺灣南部降雨的時間分配極不均勻，雨季時集流迅速，乾季時流量枯少。,,1,NULL
20,10,13,0,2017-01-09,1,質量　2　公斤的物體，原靜置於光滑的水平面上，若同時受到互相垂直的　4　牛頓與　3　牛頓的水平力作用，經歷　6　秒，則　4　牛頓的力作功為若干焦耳？,,120,144,160,180,,,,,B,,q_6_a_10.jpg,1,NULL
21,10,1,0,2017-01-09,1,下列各組字形，何者錯字最多？,,星輝班瀾／夜欄人靜／天真瀾漫／陳腔爛調,殺生成仁／明哲保生／貪身怕死／抱撼終生,賢賢易色／出奇不意／意不容辭／意正詞嚴,巧顏令色／察顏觀色／和言悅色／急言厲色,,,,,A,"(Ａ)星輝「班瀾」→星輝「斑斕」／夜「欄」人靜→夜「闌」人靜／天真「瀾」漫→天真「爛」漫／陳腔「爛」調→陳腔「濫」調　
(Ｂ)殺「生」成仁→殺「身」成仁／明哲保「生」→明哲保「身」／貪「身」怕死→貪「生」怕死／抱「撼」終生→抱「憾」終生　
(Ｃ)出「奇」不意→出「其」不意／「意」不容辭→「義」不容辭／「意」正詞嚴→「義」正詞嚴（義正「辭」嚴亦可）　
(Ｄ)巧「顏」令色→巧「言」令色／察「顏」觀色→察「言」觀色／和「言」悅色→和「顏」悅色／「急」言厲色→「疾」言厲色
",,1,NULL
22,10,1,0,2017-01-09,2,以下成語何者兩兩不相同？,,入木三分／銀勾鐵畫,鐘鳴鼎食／食不重味,閹然媚世／吮癰舐痣,牛角掛書／程門立雪,,,,,B,"(Ａ)書法之美　
(Ｂ)奢侈／樸實　
(Ｃ)趨炎附勢　
(Ｄ)勤奮學習：唐李密／宋揚時求見程頤
",,1,NULL
23,10,1,0,2017-01-09,3,下列成語的解釋，正確的是：,,「瓊漿玉液」意同「食前方丈」,「寅食卯糧」意同「斷虀畫粥」,「列鼎而食」意同「鐘鳴鼎食」,「炊金饌玉」意同「米珠薪桂」,,,,,C,"(Ａ)比喻香醇的美酒╱形容生活非常奢侈　
(Ｂ)比喻入不敷出，預支以後的用項╱用以形容不畏艱苦，刻苦勤學　
(Ｃ)皆形容生活非常奢侈　
(Ｄ)形容飲食的豐盛美味╱比喻物價昂貴
",,1,NULL
24,10,1,0,2017-01-09,4,"下列文句□內的用字若完全正確，則□中應填入的詞語依序是：
「唉，經濟不景氣，就連多利集團也傳出跳票，聽說他們的財務狀況□□可危哩。」
「你說的是那家□□大名、擁有數十家連鎖店的大企業？」
「沒錯。現在他們的員工、下游廠商和投資者全都憂心□□。」
「怎麼會這樣？」
「這原因可複雜了，且聽我□□道來。」
",,急急／頂頂／沖沖／委委,急急／鼎鼎／沖沖／委委,岌岌／頂頂／忡忡／娓娓,岌岌／鼎鼎／忡忡／娓娓,,,,,D,(Ｄ)岌，山高貌，「岌岌」引申為危險。「鼎鼎」為盛大貌。「忡忡」，憂心至不能成眠。「娓娓」，委婉仔細,,1,NULL
